HARVARD	Sir
al	as
he	he
no	was
he	he
vm	was
not	not
only	only
growing	growing
dreadfully	dreadfully
in	in
debt	debt
but	but
in	was
hearing	hearing
of	of
it	it
Io	so
often	often
that	that
it	it
became	became
vain	vain
toattempt	to
null	attempt
concealing	concealing
it	it
longer	longer
even	even
partiall	partially
from	from
hie	his
daughter	daughter
He	He
had	had
given	given
her	her
tome	some
hinu	hints
o	of
it	it
the	the
lm	last
apring	spring
in	in
town	town
he	he
had	had
gone	gone
so	so
for	far
even	even
an	as
to	to
say	say
“Can	Can
we	we
rtlrcnch	retrench
l	null
Does	Does
it	it
occur	occur
to	to
you	you
that	that
there	there
in	is
any	any
one	one
lrﬁcle	article
in	in
which	which
we	we
can	can
relrench	retrench
”	and
and	Elizabeth
Elizabeth	to
todo	do
her	her
junice	justice
had	had
in	in
the	the
hm	first
ardour	ardour
of	of
female	female
alann	alarm
Jet	set
terlouoly	seriously
to	to
think	think
what	what
could	could
be	be
done	done
and	and
had	had
ﬁnally	finally
propoml	proposed
hue	these
two	two
hrnnchel	branches
of	of
economy	economy
to	to
cut	cut
oil	off
ION	some
unneceunry	unnecessary
chnriliu	charities
Ind	and
oo	to
refrain	refrain
from	from
new	new
furnllhlnn	furnishing
the	the
drawingroom	drawingroom
to	to
which	which
ex	expedients
ienu	null
she	she
nﬂerwmll	afterwards
added	added
the	the
happy	happy
thought	thought
of	of
their	their
taking	taking
no	no
ple	present
down	down
to	to
Anne	Anne
at	as
had	had
been	been
the	the
um	usual
yearly	yearly
comm	custom
But	But
these	these
menum	measures
however	however
good	good
in	in
theml‘lvu	themselves
wen	were
lniuﬂlrient	insufficient
for	for
the	the
real	real
extent	extent
of	of
the	the
evil	evil
‘	null
rnnsussron	null
9	null
the	the
whole	whole
of	of
which	which
Sir	Sir
Walter	Walter
fwnd	found
himself	himself
obliged	obliged
to	to
confess	confess
to	to
her	her
soon	soon
afterwards	afterwards
Elinllxth	Elizabeth
hag	had
nothin	nothing
to	to
roposeofd	propose
eﬂica	of
null	deeper
null	efficacy
She	She
ct	felt
here	herself
illqu	illused
and	and
unfomnam	unfortunate
null	as
did	did
lair	her
father	father
and	and
they	they
were	were
neither	neither
of	of
them	them
able	able
to	to
devise	devise
any	any
means	means
of	of
lessening	lessening
their	their
expenses	expenses
without	without
compromising	compromising
their	their
dignity	dignity
or	or
relinquishing	relinquishing
their	their
comforts	comforts
in	in
a	a
way	way
not	not
to	to
be	be
home	borne
There	There
was	was
only	only
a	a
small	small
part	part
of	of
his	his
estate	estate
that	that
Sir	Sir
Walter	Walter
could	could
dispose	dispose
of	of
but	but
had	had
every	every
acre	acre
been	been
alienable	alienable
it	it
would	would
have	have
nude	made
no	no
difference	difference
He	He
had	had
condescended	condescended
to	to
mortgage	mortgage
as	as
far	far
n	as
he	he
had	had
the	the
power	power
but	but
he	he
would	would
never	never
condescend	condescend
to	to
sell	sell
No	No
he	he
would	would
never	never
disgrace	disgrace
his	his
name	name
so	so
far	far
The	The
Kellynch	Kellynch
estate	estate
Ihould	should
be	be
transmiwed	transmitted
whole	whole
and	and
entire	entire
Is	as
he	he
had	had
received	received
it	it
Their	Their
two	two
conﬁdential	confidential
friends	friends
Mr	Mr
Shepherd	Shepherd
who	who
lived	lived
in	in
the	the
nghbonring	neighbouring
market	market
town	town
and	and
Lad	Lady
Russell	Russell
were	were
called	called
on	null
to	to
advise	advise
them	them
and	and
both	both
ather	father
and	and
daughter	daughter
seemed	seemed
to	to
expect	expect
that	that
something	something
should	should
be	be
struck	struck
out	out
by	by
one	one
or	or
the	the
other	other
to	to
remove	remove
their	their
embarrassments	embarrassments
and	and
reduce	reduce
their	their
expenditure	expenditure
without	without
involving	involving
the	the
loss	loss
of	of
any	any
indulgence	indulgence
of	of
taste	taste
or	or
pride	pride
chum	Chapter
33	2
R	Mr
SHEPHERD	Shepherd
a	a
civil	civil
cautious	cautious
lawyer	lawyer
who	who
whatever	whatever
might	might
be	be
his	his
hold	hold
or	or
his	his
views	views
on	on
Sir	Sir
Walter	Walter
would	would
rather	rather
have	have
the	the
ﬁragmable	disagreeable
prompted	prompted
by	by
anybody	anybody
else	else
excused	excused
himself	himself
from	from
oﬂ‘ermg	offering
the	the
slightest	slightest
hint	hint
and	and
only	only
begged	begged
leave	leave
to	to
recommend	recommend
an	an
implicit	implicit
reference	reference
to	to
the	the
excellent	excellent
judgment	judgement
of	of
Lady	Lady
Russell	Russell
from	from
whose	whose
known	known
good	good
sense	sense
he	he
fully	fully
expected	expected
to	to
have	have
just	just
such	such
resolute	resolute
measures	measures
advised	advised
as	as
he	he
meant	meant
to	to
see	see
ﬁnally	finally
adopted	adopted
IO	Lady
PIISUASION	Russell
Lady	was
Rulellwumoetnnxionnlyzenloueonthe	most
nbjeaand	anxiously
give	zealous
null	on
null	the
null	subject
null	and
null	gave
it	it
much	much
action	serious
canidention	consideration
She	She
wan	was
null	a
woman	woman
rather	rather
of	of
nound	sound
than	than
of	of
quick	quick
nhilitien	abilities
whoee	whose
difﬁcultiel	difficulties
in	in
coming	coming
to	to
any	any
dedion	decision
in	in
thin	this
inmee	instance
were	were
great	great
from	from
the	the
oypoaition	opposition
of	of
two	two
lending	leading
principles	principles
She	She
was	was
of	of
urict	strict
integrity	integrity
hemlf	herself
with	with
a	a
delicate	delicate
m	sense
of	of
honour	honour
but	but
the	she
WI	was
u	as
deriroul	desirous
of	of
nving	saving
Sir	Sir
Walter’s	Walters
feelingl	feelings
a	as
anlicitoun	solicitous
for	for
the	the
credit	credit
of	of
the	the
fumily	family
a	as
arinocratic	aristocratic
in	in
her	her
ideas	ideas
of	of
who	what
vial	was
due	due
to	to
themaanybodyaheneenndhoneetycouldwell	them
null	as
null	anybody
null	of
null	sense
null	and
null	honesty
null	could
null	well
be	be
She	She
we	was
I	a
benevolent	benevolent
charitable	charitable
good	good
woman	woman
Ind	and
capable	capable
of	of
mung	strong
attachments	attachments
molt	most
correct	correct
in	in
her	her
conduct	conduct
etrict	strict
in	in
her	her
notion	notions
of	of
decorum	decorum
and	and
with	with
mum	manners
that	that
were	were
held	held
a	a
Itandard	standard
of	of
goodbreeding	goodbreeding
She	She
had	had
a	a
cultivated	cultivated
mind	mind
and	and
was	was
genenlly	generally
speaking	speaking
rational	rational
and	and
eminent	consistent
but	but
the	she
had	had
prejudioel	prejudices
on	on
the	the
tide	side
of	of
ancestry	ancestry
the	she
had	had
a	a
value	value
for	for
rank	rank
and	and
conneqmce	consequence
which	which
blinded	blinded
her	her
a	a
little	little
to	to
the	the
Paqu	faults
of	of
thoee	those
who	who
paueued	possessed
them	them
‘Henelf	Herself
the	the
widow	widow
of	of
only	only
a	a
his“	knight
he	she
gave	gave
the	the
dignity	dignity
of	of
n	a
baronet	baronet
all	all
in	its
due	due
and	and
Sir	Sir
Walter	Walter
independent	independent
of	of
his	his
claim	claims
an	as
an	an
old	old
mqmintance	acquaintance
an	an
attentive	attentive
neighbour	neighbour
an	an
ohliging	obliging
land—	landlord
lord	null
the	the
hueband	husband
of	of
her	her
very	very
dear	dear
friend	friend
the	the
father	father
of	of
Anne	Anne
and	and
her	her
sisters	sisters
wan	was
at	as
being	being
Sir	Sir
Walter	Walter
in	in
her	her
nppmhention	apprehension
entitled	entitled
to	to
a	a
great	great
deal	deal
of	of
compassion	compassion
and	and
cannideration	consideration
under	under
hilprcIent	his
difﬁculuen	present
null	difficulties
They	They
mun	must
retrench	retrench
that	that
did	did
not	not
admit	admit
null	of
a	a
doubt	doubt
B“	But
“I	she
wag	was
very	very
anxioun	anxious
to	to
have	have
it	it
done	done
with	with
the	the
least	least
’ble	possible
pain	pain
to	to
him	him
and	and
Elizabeth	Elizabeth
She	She
drew	drew
up	up
planof	plans
null	of
economy	economy
nhe	she
made	made
exact	exact
calculation»	calculations
and	and
the	she
did	did
what	what
nohOdy	nobody
elee	else
thought	thought
of	of
doing	doing
the	she
comulted	consulted
Anne	Anne
who	who
never	never
accrued	seemed
conﬁdered	considered
by	by
the	the
othen	others
as	as
having	having
1	any
intemt	interest
in	in
the	the
question	question
She	She
coneulted	consulted
and	and
III	in
a	a
wee	degree
inﬂuenced	was
null	influenced
by	by
her	her
in	in
marking	marking
out	out
the	the
Icherne	scheme
0f	of
trenchment	retrenchment
which	which
war	was
at	at
int	last
submitted	submitted
to	to
Sir	Sir
wilt“	Walter
Every	Every
emendution	emendation
of	of
Anne’n	Annes
had	had
been	been
on	on
the	the
PIRSUASION	side
l	of
I	honesty
ride	against
of	importance
hmatyagninntimportauoe	She
Shemtedruore	wanted
vi	more
mmgenmmnplete	vigorous
reforrmtionaquiclrer	measures
reine	a
null	more
null	complete
null	reformation
null	a
null	quicker
null	release
from	from
debt	debt
I	a
much	much
higher	higher
tone	tone
of	of
indiﬂ‘ereuce	indifference
for	for
everything	everything
but	but
juntice	justice
and	and
equity	equity
“Ifwecau	If
perrude	we
null	can
null	persuade
your	your
father	father
to	to
Ill	all
thin”	this
laid	said
Lady	Lady
Ruttell	Russell
looking	looking
over	over
her	her
paper	paper
“much	much
may	may
he	be
done	done
If	If
he	he
will	will
adopt	adopt
these	these
null	regulations
in	in
men	seven
yearn	years
hewillhecleur	he
nudlhopewe	will
me	be
he	clear
Able	and
null	I
null	hope
null	we
null	may
null	be
null	able
to	to
nonvinee	convince
him	him
and	and
Elizabeth	Elizabeth
that	that
Ke	Kellynch
ynch	null
Hall	Hall
hat	has
a	a
emhility	respectability
iu	in
inelf	itself
which	which
munot	cannot
he	be
nﬂected	affected
thee	by
undone	these
null	reductions
and	and
that	that
the	the
true	true
dignity	dignity
of	of
Sir	Sir
nlter	Walter
Elliotwillheveryfnrfrmuleuenedintheeyetot	Elliot
teuihle	will
People	be
by	very
hi	far
null	from
null	lessened
null	in
null	the
null	eyes
null	of
null	sensible
null	people
null	by
acting	acting
like	like
u	a
nun	man
of	of
principle	principle
What	What
will	will
he	he
he	be
doing	doing
in	in
feet	fact
but	but
whit	what
very	very
many	many
ofonr	of
ﬁrttfnnriliet	our
null	first
null	families
have	have
dune	done
or	or
ought	ought
to	to
do	do
There	There
will	will
be	be
nothing	nothing
tingulnr	singular
in	in
hit	his
are	case
and	and
it	it
it	is
singularity	singularity
which	which
often	often
nuke	makes
the	the
wont	worst
part	part
of	of
our	our
mﬂering	suffering
at	as
rt	it
nlwnyl	always
doet	does
of	of
our	our
conduct	conduct
I	I
have	have
great	great
hope	hope
of	of
our	null
prevailing	prevailing
We	We
mint	must
be	be
serious	serious
and	and
decided	decided
for	for
after	after
all	all
the	the
peron	person
who	who
hat	has
contracted	contracted
debt	debts
mun	must
pay	pay
them	them
audthough	and
agreat	though
null	a
null	great
deal	deal
in	is
due	due
to	to
the	the
feelingt	feelings
ofthe	of
geutkmu	the
null	gentleman
and	and
the	the
heed	head
of	of
a	a
home	house
like	like
your	your
father	father
therenir	there
dill	is
null	still
more	more
due	due
to	to
the	the
diameter	character
of	of
an	an
haunt	honest
man	man
Thit	This
war	was
the	the
principle	principle
on	on
which	which
Anne	Anne
wanted	wanted
her	her
father	father
to	to
he	be
prooeeding	proceeding
hit	his
friend	friends
to	to
he	be
urging	urging
him	him
She	She
considered	considered
it	it
at	as
an	an
act	act
of	of
indupennhle	indispensable
duty	duty
to	to
clear	clear
may	away
the	the
claim	claims
of	of
creditor	creditors
with	with
all	all
the	the
expedition	expedition
which	which
the	the
moat	most
comprehensive	comprehensive
retrenchment	retrenchments
could	could
Iecure	secure
and	and
law	saw
no	no
dignity	dignity
in	in
nu	anything
thing	short
Ihort	null
of	of
it	it
She	She
wanted	wanted
it	it
to	to
be	be
preteribed	prescribed
null	and
felt	felt
a	as
u	a
duty	duty
She	She
rated	rated
Lady	Lady
Ruuell’e	Russells
inﬂuence	influence
highly	highly
and	and
u	as
to	to
the	the
severe	severe
degree	degree
of	of
telfdeniul	selfdenial
which	which
her	her
own	own
conlcience	conscience
pmmyted	prompted
die	she
believed	believed
there	there
might	might
be	be
little	little
more	more
difﬁculty	difficulty
in	in
Pemnding	persuading
them	them
to	to
a	a
complete	complete
thnn	than
to	to
half	half
a	a
reformation	reformation
Her	Her
knowledge	knowledge
of	of
her	her
father	father
and	and
Eliza	Elizabeth
ll	null
l	null
I	null
PERSUASION	null
hetli	null
inclined	inclined
her	her
to	to
think	think
dut	that
the	the
sacriﬁce	sacrifice
of	of
one	one
null	pair
of	of
hone	horses
would	would
he	be
hurdly	hardly
lea	less
plinful	painful
than	than
of	of
both	both
ad	and
to	so
on	on
through	through
the	the
whole	whole
lint	list
of	of
Lady	Lady
Runell’e	Russells
too	too
gentle	gentle
reductions	reductions
How	How
Anne’s	Annes
more	more
rigid	rigid
requicitions	requisitions
might	might
hsve	have
been	been
taken	taken
ll	is
of	of
little	little
consequence	consequence
Lady	Lady
Ruuell’e	Russells
had	had
no	no
menu	success
at	at
all	all
could	could
not	not
he	be
put	put
up	up
with	with
were	were
not	not
to	to
be	be
borne	borne
“What	What
every	every
comfort	comfort
of	of
life	life
knocked	knocked
off	off
Journeys	Journeys
London	London
nervnnn	servants
bones	horses
table—contractionand	tablecontractions
remlotions	and
everywhere	restrictions
null	every
null	where
To	To
live	live
no	no
longer	longer
with	with
the	the
deeenciet	decencies
even	even
of	of
a	a
private	private
gendemanl	gentleman
No	No
he	he
would	would
sooner	sooner
quit	quit
Kellynch	Kellynch
Hall	Hall
at	at
once	once
than	than
remain	remain
in	in
it	it
on	on
Iuch	such
dingraceful	disgraceful
term	terms
Quit	Quit
Kell	Kellynch
och	null
Hall	Hall
I	null
The	The
hint	hint
was	was
immediately	immediately
taken	taken
up	up
r	by
null	Mr
Shepherd	Shepherd
whoae	whose
interest	interest
was	was
involved	involved
in	in
the	the
mity	reality
of	of
Sir	Sir
Walter’s	Walters
retrenching	retrenching
and	and
who	who
was	was
perfectly	perfectly
persuaded	persuaded
that	that
nothing	nothing
would	would
he	be
done	done
without	without
a	a
change	change
of	of
abode	abode
“	null
Since	Since
the	the
idea	idea
had	had
been	been
started	started
in	in
the	the
very	very
quarter	quarter
which	which
ought	ought
to	to
dictate	dictate
he	he
had	had
no	no
temple	scruple
he	he
aid	said
“	null
in	in
confusing	confessing
his	his
judgment	judgement
to	to
be	be
entirely	entirely
on	on
that	that
side	side
It	It
did	did
not	not
appear	appear
to	to
him	him
that	that
Sir	Sir
Walter	Walter
could	could
materially	materially
alter	alter
his	his
style	style
of	of
living	living
in	in
a	a
home	house
which	which
had	had
ouch	such
a	a
character	character
of	of
hoepitnlitynnd	hospitality
null	and
ancient	ancient
dignity	dignity
to	to
support	support
In	In
any	any
other	other
place	place
Sir	Sir
Walter	Walter
might	might
judge	judge
for	for
himself	himself
and	and
would	would
he	be
looked	looked
up	up
to	to
at	as
regulnting	regulating
the	the
mode	modes
of	of
life	life
in	in
whatever	whatever
way	way
he	he
might	might
chooee	choose
to	to
model	model
hil	his
household	household
Sir	Sir
Welter	Walter
would	would
quit	quit
Kellynch	Kellynch
Hall	Hall
and	and
after	after
a	a
very	very
few	few
day	days
more	more
of	of
doubt	doubt
and	and
indecition	indecision
the	the
great	great
ueetion	question
of	of
whidier	whither
he	he
should	should
go	go
wan	was
settled	settled
and	and
the	the
2m	first
outline	outline
of	of
thin	this
important	important
change	change
made	made
out	out
There	There
had	had
been	been
three	three
alternatives	alternatives
London	London
Bath	Bath
or	or
another	another
house	house
in	in
the	the
country	country
All	All
Annes	Annes
wither	wishes
had	had
been	been
forthe	for
liner	the
null	latter
A	A
small	small
house	house
in	in
their	their
own	own
neighbourhood	neighbourhood
where	where
th	they
might	might
still	still
have	have
Lady	Lady
Runells	Russells
eociety	society
still	still
he	be
nearary	near
null	Mary
and	and
still	still
have	have
the	the
pleasure	pleasure
of	of
PERSUASION	sometimes
r3	null
eometimee	null
seeing	seeing
the	the
him	lawns
and	and
grove	groves
of	of
Kellynch	Kellynch
was	was
the	the
object	object
of	of
her	her
ambition	ambition
But	But
the	the
neural	usual
fate	fate
of	of
Anne	Anne
amended	attended
her	her
in	in
having	having
Iomevhing	something
very	very
o	opposite
te	null
from	from
her	her
inclination	inclination
ﬁxed	fixed
on	on
She	She
disliked	disliked
th	Bath
Ind	and
did	did
not	not
think	think
it	it
agreed	agreed
with	with
her	her
and	and
Bath	Bath
wan	was
to	to
be	be
her	her
home	home
Sir	Sir
Walter	Walter
had	had
at	at
lint	first
thought	thought
more	more
of	of
London	London
but	but
